,title,description,genre,published_date,authors
36,the farthest shore,when the prince of enlad declares the wizards have forgotten their spells ged sets out to test the ancient prophecies of earthsea,fantasy,2012.0,ursula k le guin
37,where the wild things are,max is sent to bed without supper and imagines sailing away to the land of wild things where he is made king winner 1964 caldecott medalnotable childrens books of 19401970 ala1981 boston globehorn book award for illustration1963 1982 fanfare honor list the horn bookbest illustrated childrens books of 1963 1982 nyta reading rainbow selection1964 lewis carroll shelf awardchildrens books of 1981 library of congress1981 childrens books ny public library100 books for reading and sharing 1988 ny public library,fantasy,1963.0,maurice sendak
38,house of many ways,charmain baker is in over her head looking after greatuncle williams tiny cottage while hes ill should have been easy but greatuncle william is better known as the royal wizard norland and his house bends space and time its single door leads to any number of placesthe bedrooms the kitchen the caves under the mountains the past and the royal mansion to name just a few by opening that door charmain has become responsible for not only the house but for an extremely magical stray dog a muddled young apprentice wizard and a box of the kings most treasured documents she has encountered a terrifying beast called a lubbock irritated a clan of small blue creatures and wound up smack in the middle of an urgent search the king and his daughter are desperate to find the lost fabled elfgiftso desperate that theyve even called in an intimidating sorceress named sophie to help and where sophie is can the wizard howl and fire demon calcifer be far behind of course with that magical family involved theres bound to be chaosand unexpected revelations no one will be more surprised than charmain by what howl and sophie discover,fantasy,2008.0,diana wynne jones
39,little black sambo,the classic story by helen bannerman of a young indian lad who meets up with a tiger and turns him into butter,fantasy,1921.0,helen bannerman
40,the black cauldron,taran the gallant assistant pigkeeper and his companions once again fare forth to destroy the evil that threatens their beloved country prydain a wise and wondrous tale written in epic fashion booklist,fantasy,1980.0,lloyd alexander
41,the life and adventures of santa claus,a human foundling child adopted by a woodnymph and raised by the creatures who inhabit a magical forest grows up to be the immortal santa claus,fantasy,1902.0,lyman frank baum
42,lucindas secret,with goblins trolls and the house boggart all trying to get them the grace children turn to great aunt lucinda for help,fantasy,2003.0,tony diterlizzi holly black
43,the hobbit or there and back again,this definitive paperback edition features nine illustrations and two maps drawn by jrr tolkien and a preface by christopher tolkien bilbo baggins is a hobbit who enjoys a comfortable unambitious life rarely travelling further than the pantry of his hobbithole in bag end but his contentment is disturbed when the wizard gandalf and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey there and back again they have a plot to raid the treasure hoard of smaug the magnificent a large and very dangerous dragon the prelude to the lord of the rings the hobbit has sold many millions of copies since its publication in 1937 establishing itself as one of the most beloved and influential books of the twentieth century,fantasy,1996.0,john ronald reuel tolkien
44,the tombs of atuan,with a new afterword from the authorjkt,fantasy,2012.0,ursula k le guin
45,prince caspian,peter susan edmund and lucy return to narnia once more this time to help rescue the rightful heir to the throne from his evil uncle miraz,fantasy,2009.0,clive staples lewis
46,the drawing of the three,in 1978 stephen king introduced the world to the last gunslinger roland of gilead nothing has been the same since more than twenty years later the quest for the dark tower continues to take readers on a wildly epic ride through parallel worlds and across time roland must brave desolate wastelands and endless deserts drifting into the unimaginable and the familiar a classic tale of colossal scopecrossing over terrain from the stand the eyes of the dragon insomnia the talisman black house hearts in atlantis salems lot and other familiar king hauntsthe adventure takes hold with the turn of each page and the tower awaits the second volume in the epic dark tower series the drawing of the three while pursuing his quest for the dark tower through a world that is a nightmarishly distorted mirror image of our own roland is drawn through a mysterious door that brings him into contemporary america here he links forces with the defiant young eddie dean and with the beautiful brilliant and brave odetta holmes in a savage struggle against underworld evil and otherworldly enemies once again stephen king has masterfully interwoven dark evocative fantasy and icy realism,fantasy,1987.0,stephen king
47,the story of doctor dolittle,an abridged version of the adventures of a kindhearted doctor who is fond of animals and understands their language as he travels to africa with some of his favorite pets to cure the monkeys of a terrible sickness,fantasy,2005.0,hugh lofting
48,harry potter and the philosophers stone,harry potter is an ordinary boy who lives in a cupboard under the stairs at his aunt petunia and uncle vernons house which he thinks is normal for someone like him whos parents have been killed in a car crash he is bullied by them and his fat spoilt cousin dudley and lives a very unremarkable life with only the odd hiccup like his hair growing back overnight to cause him much to think about that is until an owl turns up with a letter addressed to harry and all hell breaks loose he is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day read and find out how harry discovers his true heritage at hogwarts school of wizardry and witchcraft the reason behind his parents mysterious death who is out to kill him and how he uncovers the most amazing secret of all time the fabled philosophers stone all this and muggles too now what are they,fantasy,1997.0,j k rowling
49,six of crows,six dangerous outcasts and one impossible heist kazs crew is the only thing that might stand between the world and destruction if the crew members dont kill each other first,fantasy,2018.0,leigh bardugo
50,the lion the witch and the wardrobe movie tiein edition adult,the new adult softcover edition of the lion the witch and the wardrobe now has a movie still cover and an eightpage movie still insert,fantasy,2005.0,c s lewis
51,the wonderful wizard of oz,the wonderful wizard of oz remains one of the worlds most beloved and widely read books throughout a century of remarkable change the popularity of l frank baums classic tale has endured and grown embraced by generation after generation of children and the young at heart to honour the centennial of its publication in 1900 the university press of kansas is presenting this special anniversary edition that combines baums original text with the contributions of two renowned artists book illustrator michael mccurdy and writer ray bradbury the book embraces and celebrates the oftkidded connection between baums wondrous story and the state of kansas,fantasy,1999.0,lyman frank baum
52,moominpappa at sea,leave moominvalley is it possible yes even the moomin family need a change of scenery sometimes so theyre off to live in a lighthouse on a tiny island here they find space to grow and to do things they couldnt in their comfortable cluttered valley home as they discover their new home the family also discover surprising and wonderfully funny new things about themselves,fantasy,2010.0,tove jansson
53,bartholomew and the oobleck,the king tired of rain snow sun and fog commands his magicians to make something else come down from the sky but when oobleck falls in sticky greenish droplets bartholomew cubbins shames the king and saves the kingdom,fantasy,1949.0,
54,the castle of llyr,when princess eilonwy is kidnapped taran and his companions seek to rescue her,fantasy,2006.0,lloyd alexander
55,the handmaids tale,the republic of gilead offers offred only one function to breed  if she deviates she will like dissenters be hanged at the wall or sent out to die slowly of radiation sickness but even a repressive state cannot obliterate desire  neither offreds n,fantasy,1996.0,margaret atwood
